epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1203.7,0.8299,1.46406,0.89968,0.94613,0.90083,0.92844,0.77646,0.84259,1.60127,0.90814,0.005743,0.005743,0.005743
45,1246.46,0.835,1.45989,0.91035,0.91846,0.87609,0.90737,0.75103,0.82428,1.69469,0.9032,0.005644,0.005644,0.005644
46,1292.07,0.81083,1.41928,0.89689,0.92059,0.88178,0.91636,0.76286,0.84836,1.78788,0.91065,0.005545,0.005545,0.005545
47,1337.1,0.80748,1.42064,0.90074,0.94082,0.87995,0.91273,0.7601,0.85418,1.79042,0.91747,0.005446,0.005446,0.005446
48,1383.99,0.79561,1.40598,0.89573,0.92241,0.87302,0.91566,0.76772,0.85449,1.77237,0.92239,0.005347,0.005347,0.005347
49,1423.13,0.79775,1.39128,0.89114,0.93359,0.86644,0.91337,0.76958,0.83568,1.89392,0.91346,0.005248,0.005248,0.005248
50,1461.78,0.79996,1.39753,0.89843,0.92003,0.87609,0.91752,0.76797,0.8425,1.75944,0.92815,0.005149,0.005149,0.005149
51,1500.16,0.78068,1.38593,0.89212,0.92074,0.87802,0.91724,0.78083,0.82941,1.8887,0.91428,0.00505,0.00505,0.00505
52,1537.13,0.78385,1.36592,0.89294,0.93809,0.88188,0.9148,0.76428,0.85065,1.8195,0.91071,0.004951,0.004951,0.004951
53,1573.36,0.78043,1.32715,0.89116,0.9201,0.88381,0.91833,0.77453,0.8482,1.81356,0.91031,0.004852,0.004852,0.004852
54,1612.68,0.75799,1.3156,0.88313,0.91237,0.885,0.91519,0.76178,0.83364,1.77976,0.91078,0.004753,0.004753,0.004753
55,1649.96,0.7503,1.31266,0.88067,0.93513,0.87802,0.90757,0.76084,0.81826,1.73506,0.90923,0.004654,0.004654,0.004654
56,1687.78,0.76168,1.30448,0.89278,0.91753,0.8896,0.91192,0.76791,0.79065,1.71065,0.90577,0.004555,0.004555,0.004555
57,1722.81,0.73187,1.27701,0.86972,0.93142,0.88574,0.90937,0.77006,0.80262,1.75796,0.91127,0.004456,0.004456,0.004456
58,1758.7,0.74167,1.30471,0.8762,0.91751,0.89346,0.91251,0.77013,0.81802,1.78829,0.91557,0.004357,0.004357,0.004357
59,1793.43,0.74804,1.31514,0.87736,0.93175,0.86644,0.91152,0.77333,0.82114,1.86761,0.91541,0.004258,0.004258,0.004258
60,1828.52,0.7188,1.25761,0.87294,0.9297,0.8764,0.91343,0.77898,0.8195,1.83513,0.91864,0.004159,0.004159,0.004159
61,1862.51,0.72829,1.25795,0.87155,0.93501,0.87223,0.91354,0.77591,0.80683,1.8353,0.90978,0.00406,0.00406,0.00406
62,1898.25,0.73594,1.25996,0.87608,0.92939,0.8836,0.92105,0.77597,0.81459,1.83591,0.91161,0.003961,0.003961,0.003961
63,1936.15,0.72092,1.24533,0.87624,0.91475,0.87802,0.91414,0.77084,0.81863,1.78975,0.91019,0.003862,0.003862,0.003862
64,1969.43,0.70248,1.22824,0.87452,0.93369,0.85485,0.91156,0.77488,0.805,1.81813,0.90656,0.003763,0.003763,0.003763
65,2000.41,0.71188,1.22875,0.86698,0.94065,0.8703,0.91943,0.7856,0.77119,1.70005,0.89352,0.003664,0.003664,0.003664
66,2032.08,0.68846,1.20359,0.86427,0.92973,0.86644,0.91485,0.78497,0.78684,1.68609,0.90131,0.003565,0.003565,0.003565
67,2063.28,0.72116,1.25328,0.8678,0.91677,0.88381,0.92049,0.78997,0.80781,1.67254,0.9081,0.003466,0.003466,0.003466
68,2095.88,0.68928,1.20746,0.86512,0.93223,0.88381,0.92206,0.78804,0.80082,1.68566,0.90207,0.003367,0.003367,0.003367
69,2128.34,0.68771,1.191,0.86177,0.93037,0.86065,0.91243,0.78304,0.79071,1.77094,0.89921,0.003268,0.003268,0.003268
70,2162.35,0.69923,1.20845,0.86009,0.92728,0.86141,0.91666,0.78518,0.78475,1.76218,0.89712,0.003169,0.003169,0.003169
71,2194.07,0.65952,1.131,0.86121,0.9319,0.87223,0.92066,0.78811,0.78759,1.72497,0.89454,0.00307,0.00307,0.00307
72,2227.1,0.6985,1.18498,0.85938,0.93253,0.88188,0.92495,0.79114,0.77338,1.63536,0.8956,0.002971,0.002971,0.002971
73,2258.21,0.64356,1.13538,0.85718,0.94209,0.8703,0.91869,0.78963,0.75265,1.58635,0.88998,0.002872,0.002872,0.002872
74,2289.37,0.65782,1.1508,0.86686,0.9209,0.8954,0.92455,0.79358,0.74291,1.58893,0.89173,0.002773,0.002773,0.002773
75,2321.63,0.66722,1.14432,0.85583,0.93987,0.88188,0.9261,0.79202,0.77005,1.59778,0.89733,0.002674,0.002674,0.002674
76,2358.65,0.64753,1.12443,0.85084,0.95484,0.86451,0.9163,0.79669,0.77542,1.63815,0.90415,0.002575,0.002575,0.002575
77,2395.31,0.63736,1.09836,0.85894,0.95533,0.86644,0.91719,0.79486,0.78288,1.65926,0.90597,0.002476,0.002476,0.002476
78,2428.31,0.64706,1.12944,0.851,0.92794,0.88574,0.92184,0.79816,0.79177,1.68442,0.91258,0.002377,0.002377,0.002377
